ticker,date,period_ending,estimate,reported,surprise,surprise%,group
SYF,2021-04-27,21-Mar,1.5,1.73,0.23,15.33,2
SYK,2021-04-27,21-Mar,1.98,1.93,-0.05,-2.53,3
SYNH,2021-04-29,21-Mar,0.74,0.79,0.05,6.76,2
SYY,2021-05-04,21-Mar,0.2,0.22,0.02,10,2
T,2021-04-22,21-Mar,0.77,0.86,0.09,11.69,2
TAP,2021-04-29,21-Mar,-0.12,0.01,0.13,108.33,1
TDC,2021-05-06,21-Mar,0.62,0.69,0.07,11.29,2
TDG,2021-05-11,21-Mar,2.52,2.58,0.06,2.38,3
TDOC,2021-04-28,21-Mar,-0.57,0.13,0.7,122.81,1
TDY,2021-04-28,21-Mar,2.59,3.02,0.43,16.6,2
TEAM,2021-04-29,21-Mar,0.29,0.48,0.19,65.52,1
TECH,2021-05-06,21-Mar,1.5,1.79,0.29,19.33,2
TER,2021-04-27,21-Mar,1.04,1.11,0.07,6.73,2
TFSL,2021-04-29,21-Mar,0.07,0.08,0.01,14.29,2
TFX,2021-04-29,21-Mar,2.44,2.87,0.43,17.62,2
TGT,2021-05-19,21-Apr,2.26,3.69,1.43,63.27,1
THG,2021-04-29,21-Mar,0.75,1.66,0.91,121.33,1
THO,2021-06-08,21-Apr,2.36,3.29,0.93,39.41,1
TJX,2021-05-19,21-Apr,0.31,0.44,0.13,41.94,1
TKR,2021-04-28,21-Mar,1.2,1.38,0.18,15,2
TMO,2021-04-29,21-Mar,6.69,7.21,0.52,7.77,2
TMUS,2021-05-04,21-Mar,0.55,0.92,0.37,67.27,1
TMX,2021-05-06,21-Mar,0.21,0.3,0.09,42.86,1
TNDM,2021-05-05,21-Mar,-0.15,-0.07,0.08,53.33,1
TNL,2021-04-28,21-Mar,0.17,0.39,0.22,129.41,1
TOL,2021-05-25,21-Apr,0.8,1.01,0.21,26.25,1
TPL,2021-05-06,21-Mar,5.77,6.45,0.68,11.79,2
TPR,2021-05-06,21-Mar,0.3,0.51,0.21,70,1
TPX,2021-04-29,21-Mar,0.51,0.64,0.13,25.49,1
TREX,2021-05-10,21-Mar,0.38,0.42,0.04,10.53,2
TRGP,2021-05-06,21-Mar,0.15,0.53,0.38,253.33,1
TRIP,2021-05-06,21-Mar,-0.31,-0.39,-0.08,-25.81,3
TRMB,2021-05-05,21-Mar,0.56,0.66,0.1,17.86,2
TROW,2021-04-29,21-Mar,2.92,3.01,0.09,3.08,3
TRU,2021-04-27,21-Mar,0.8,0.91,0.11,13.75,2
TRV,2021-04-20,21-Mar,2.44,2.73,0.29,11.89,2
TSCO,2021-04-22,21-Mar,0.99,1.55,0.56,56.57,1
TSLA,2021-04-26,21-Mar,0.79,0.93,0.14,17.72,2
TSN,2021-05-10,21-Mar,1.11,1.34,0.23,20.72,2
TTC,2021-06-03,21-Apr,1.23,1.29,0.06,4.88,3
TTD,2021-05-10,21-Mar,0.08,0.14,0.06,75,1
TTWO,2021-05-18,21-Mar,0.68,1.44,0.76,111.76,1
TW,2021-04-29,21-Mar,0.43,0.43,0,0,3
TWLO,2021-05-05,21-Mar,-0.1,0.05,0.15,150,1
TWTR,2021-04-29,21-Mar,0.14,0.16,0.02,14.29,2
TXG,2021-05-05,21-Mar,-0.25,-0.11,0.14,56,1
TXN,2021-04-27,21-Mar,1.56,1.87,0.31,19.87,2
TXT,2021-04-29,21-Mar,0.47,0.7,0.23,48.94,1
TYL,2021-04-28,21-Mar,1.31,1.43,0.12,9.16,2
UA,2021-05-04,21-Mar,0.04,0.16,0.12,300,1
UAA,2021-05-04,21-Mar,0.04,0.16,0.12,300,1
UAL,2021-04-19,21-Mar,-6.97,-7.5,-0.53,-7.6,3
UBER,2021-05-05,21-Mar,-0.56,-0.42,0.14,25,1
UDR,2021-04-27,21-Mar,0.48,0.01,-0.47,-97.92,3
UGI,2021-05-05,21-Mar,1.72,1.99,0.27,15.7,2
UHAL,2021-05-26,21-Mar,5.07,3.76,-1.31,-25.84,3
UHS,2021-04-26,21-Mar,2.15,2.44,0.29,13.49,2
ULTA,2021-05-27,21-Apr,1.92,4.1,2.18,113.54,1
UMPQ,2021-04-21,21-Mar,0.45,0.49,0.04,8.89,2
UNH,2021-04-15,21-Mar,4.42,5.31,0.89,20.14,2
UNM,2021-05-05,21-Mar,0.98,1.04,0.06,6.12,2
UNP,2021-04-22,21-Mar,2.06,2,-0.06,-2.91,3
UNVR,2021-05-07,21-Mar,0.32,0.43,0.11,34.38,1
UPS,2021-04-27,21-Mar,1.67,2.77,1.1,65.87,1
UPST,2021-05-11,21-Mar,0.15,0.22,0.07,46.67,1
URI,2021-04-28,21-Mar,3.1,3.45,0.35,11.29,2
USB,2021-04-15,21-Mar,0.95,1.45,0.5,52.63,1
USFD,2021-05-10,21-Mar,0.07,0.12,0.05,71.43,1
UTHR,2021-05-05,21-Mar,2.6,0.61,-1.99,-76.54,3
V,2021-04-27,21-Mar,1.26,1.38,0.12,9.52,2
VAC,2021-05-05,21-Mar,-0.29,-0.49,-0.2,-68.97,3
